species,name,HSG,singleton,HSG name
2336,Thermotoga maritima,2335:0,False,Thermotoga:HSG0
2337,Thermotoga neapolitana,2335:0,False,Thermotoga:HSG0
93929,Thermotoga petrophila,2335:0,False,Thermotoga:HSG0
1508419,Thermotoga caldifontis,2335:2,True,Thermotoga:HSG2
1508420,Thermotoga profunda,2335:1,True,Thermotoga:HSG1
86102,Idiomarina abyssalis,135575:0,False,Idiomarina:HSG0
135577,Idiomarina loihiensis,135575:0,False,Idiomarina:HSG0
1096243,Idiomarina piscisalsi,135575:1,True,Idiomarina:HSG1
197222,Paraglaciecola mesophila,1621534:1,True,Paraglaciecola:HSG1
326544,Paraglaciecola psychrophila,1621534:0,True,Paraglaciecola:HSG0
1270,Micrococcus luteus,1269:0,False,Micrococcus:HSG0
1273,Micrococcus lylae,1269:2,True,Micrococcus:HSG2
566027,Micrococcus yunnanensis,1269:0,False,Micrococcus:HSG0
574650,Micrococcus terreus,1269:1,True,Micrococcus:HSG1
2856555,Micrococcus porci,1269:0,False,Micrococcus:HSG0
2149,Mesoplasma entomophilum,46239:0,False,Mesoplasma:HSG0
2151,Mesoplasma florum,46239:0,False,Mesoplasma:HSG0
81459,Mesoplasma melaleucae,46239:0,False,Mesoplasma:HSG0
138853,Mesoplasma lactucae,46239:1,True,Mesoplasma:HSG1
216427,Mesoplasma chauliocola,46239:0,False,Mesoplasma:HSG0
219745,Mesoplasma tabanidae,46239:0,False,Mesoplasma:HSG0
225999,Mesoplasma syrphidae,46239:2,True,Mesoplasma:HSG2
324078,Mesoplasma coleopterae,46239:0,False,Mesoplasma:HSG0
1894,Kitasatospora aureofaciens,2063:1,False,Kitasatospora:HSG1
2066,Kitasatospora setae,2063:2,True,Kitasatospora:HSG2
67352,Kitasatospora purpeofusca,2063:0,False,Kitasatospora:HSG0
68217,Kitasatospora herbaricolor,2063:0,False,Kitasatospora:HSG0
2991545,Kitasatospora fiedleri,2063:3,True,Kitasatospora:HSG3
3004092,Kitasatospora cathayae,2063:1,False,Kitasatospora:HSG1
139021,Dietzia psychralcaliphila,37914:2,True,Dietzia:HSG2
322509,Dietzia kunjamensis,37914:3,True,Dietzia:HSG3
499555,Dietzia timorensis,37914:1,True,Dietzia:HSG1
